"kd_negara","nm_negara",
"106","Belize",
"110","Kosta Rica",
"118","El Salvador",
"127","Guatemala",
"131","Honduras",
"148","Meksiko",
"153","Nikaragua",
"162","Panama",
"003","Puerto Riko",
"004","Kepulauan Virgin (Amerika Serikat)",
"202","Anguilla (Britania Raya)",
"204","Bahama",
"205","Barbados",
"206","Antigua dan Barbuda",
"207","Bermuda (Britania Raya)",
"219","Kuba",
"221","Dominika",
"224","Republik Dominika",
"233","Kepulauan Cayman (Britania Raya)",
"235","Guadeloupe (Perancis)",
"238","Haiti",
"243","Jamaika",
"252","Martinique (Perancis)",
"256","Montserrat (Britania Raya)",
"259","Antillen Belanda (Belanda)",
"273","Grenada & Grenadines Selatan",
"275","St. Kitts & Nevis",
"276","St. Lucia",
"277","Aruba",
"279","St. Vincent & North Grenadines",
"280","Trinidad & Tobago",
"281","Turks & Caicos Islands (Britania Raya)",
"282","Kepulauan Virgin (Britania Raya)",
"303","Argentina",
"312","Bolivia",
"316","Brasil",
"324","Chili",
"327","Kolombia",
"337","Ekuador",
"340","Kepulauan Falkland (Britania Raya)",
"344","Guyana Perancis (Perancis)",
"350","Guyana",
"365","Paraguay",
"368","Peru",
"379","Suriname",
"385","Uruguay",
"388","Venezuela",
"401","Albania",
"402","Andorra",
"403","Austria",
"405","Armenia",
"407","Azerbaijan",
"409","Belgia",
"410","Bosnia dan Herzegovina",
"411","Bulgaria",
"413","Belarus",
"415","Kroasia",
"418","Republik Ceko",
"419","Denmark",
"422","Estonia",
"425","Finlandia",
"427","Perancis",
"429","Jerman",
"431","Gibraltar (Britania Raya)",
"432","Georgia",
"433","Yunani",
"437","Hungaria",
"439","Islandia",
"441","Irlandia",
"450","Italia",
"451","Latvia",
"452","Lithuania",
"453","Liechtenstein",
"454","Luxembourg",
"455","Makedonia",
"456","Malta",
"457","Moldova",
"458","Monako",
"459","Montenegro",
"461","Belanda",
"465","Norwegia",
"467","Polandia",
"469","Portugal",
"473","Rumania",
"475","Rusia (bagian Eropa)",
"479","San Marino",
"480","Serbia",
"481","Slovenia",
"482","Spanyol",
"483","Slovakia",
"484","Swedia",
"486","Swiss",
"488","Ukrania",
"493","Britania Raya (termasuk Inggris, Skotlandia, Wales dan Irlandia Utara)",
"500","Aljazair",
"502","Angola",
"503","Burundi",
"507","Kamerun",
"509","Cape Verde Islands",
"510","Botswana",
"511","Chad",
"513","Kepulauan Komoro",
"515","Kongo",
"517","Zaire",
"519","Benin",
"521","Guinea Katulistiwa",
"522","Ethiopia",
"523","Eritrea",
"525","Jibouti",
"526","Gabon",
"527","Gambia",
"529","Ghana",
"531","Guinea",
"533","Pantai Gading",
"535","Kenya",
"536","Lesotho",
"537","Liberia",
"538","Libya",
"541","Madagaskar",
"542","Malawi",
"543","Mali",
"545","Mauritania",
"546","Mauritius",
"547","Mayotte (Perancis)",
"548","Moroko",
"550","Mozambique",
"554","Niger",
"555","Nigeria",
"559","Guinea Bissau",
"562","Afrika Selatan",
"563","Pulau Reunion (Perancis)",
"565","Zimbabwe",
"566","Rwanda",
"567","Sao Tome & Principe",
"568","Pulau Rodrigues (Mauritius)",
"569","Senegal",
"570","Kepulauan Seychelles",
"571","Sierra Leone",
"573","Somalia",
"575","Namibia",
"579","Sahara Barat",
"580","St. Helena (Britania Raya)",
"582","Swaziland",
"583","Sudan",
"585","Tanzania",
"586","Togo",
"588","Tunisia",
"590","Uganda",
"591","Mesir",
"593","Burkina Faso",
"597","Zambia",
"605","Bahrain",
"611","Siprus",
"632","Iran",
"634","Irak",
"636","Israel",
"639","Yordania",
"644","Kuwait",
"647","Libanon",
"658","Oman",
"664","Qatar",
"670","Arab Saudi",
"676","Suriah",
"678","Uni Emirat Arab",
"679","Turki",
"694","Yaman",
"000","Gaza",
"701","Afganistan",
"702","Bhutan",
"703","Bangladesh",
"704","Brunei Darussalam",
"706","Myanmar",
