"Lokasi","Propinsi",
"Ogan Komering Ulu Selatan","Sumatera Selatan",
"Ogan Komering Ulu Timur","Sumatera Selatan",
"Pacitan","Jawa Timur",
"Padang","Sumatera Barat",
"Padang Lawas","Sumatera Utara",
"Padang Lawas Utara","Sumatera Utara",
"Padang Panjang","Sumatera Barat",
"Padang Pariaman","Sumatera Barat",
"Padang Sidempuan","Sumatera Utara",
"Pagar Alam","Sumatera Selatan",
"Pakpak Bharat","Sumatera Utara",
"Palangka Raya","Kalimantan Tengah",
"Palembang","Sumatera Selatan",
"Palopo","Sulawesi Selatan",
"Palu","Sulawesi Tengah",
"Pamekasan","Jawa Timur",
"Pandeglang","Banten",
"Pangandaran","Jawa Barat",
"Pangkajene Kepulauan","Sulawesi Selatan",
"Pangkal Pinang","Bangka Belitung",
"Paniai","Papua",
"Parepare","Sulawesi Selatan",
"Pariaman","Sumatera Barat",
"Parigi Moutong","Sulawesi Tengah",
"Pasaman","Sumatera Barat",
"Pasaman Barat","Sumatera Barat",
"Paser","Kalimantan Timur",
"Pasuruan","Jawa Timur",
"Pasuruan","Jawa Timur",
"Pati","Jawa Tengah",
"Payakumbuh","Sumatera Barat",
"Pegunungan Arfak","Papua Barat",
"Pegunungan Bintang","Papua",
"Pekalongan","Jawa Tengah",
"Pekalongan","Jawa Tengah",
"Pekanbaru","Riau",
"Pelalawan","Riau",
"Pemalang","Jawa Tengah",
"Pematang Siantar","Sumatera Utara",
"Penajam Paser Utara","Kalimantan Timur",
"Pesawaran","Lampung",
"Pesisir Barat","Lampung",
"Pesisir Selatan","Sumatera Barat",
"Pidie","Nanggroe Aceh Darussalam (NAD)",
"Pidie Jaya","Nanggroe Aceh Darussalam (NAD)",
"Pinrang","Sulawesi Selatan",
"Pohuwato","Gorontalo",
"Polewali Mandar","Sulawesi Barat",
"Ponorogo","Jawa Timur",
"Pontianak","Kalimantan Barat",
"Pontianak","Kalimantan Barat",
"Poso","Sulawesi Tengah",
"Prabumulih","Sumatera Selatan",
"Pringsewu","Lampung",
"Probolinggo","Jawa Timur",
"Probolinggo","Jawa Timur",
"Pulang Pisau","Kalimantan Tengah",
"Pulau Morotai","Maluku Utara",
"Puncak","Papua",
"Puncak Jaya","Papua",
"Purbalingga","Jawa Tengah",
"Purwakarta","Jawa Barat",
"Purworejo","Jawa Tengah",
"Raja Ampat","Papua Barat",
"Rejang Lebong","Bengkulu",
"Rembang","Jawa Tengah",
"Rokan Hilir","Riau",
"Rokan Hulu","Riau",
"Rote Ndao","Nusa Tenggara Timur (NTT)",
"Sabang","Nanggroe Aceh Darussalam (NAD)",
"Sabu Raijua","Nusa Tenggara Timur (NTT)",
"Salatiga","Jawa Tengah",
"Samarinda","Kalimantan Timur",
"Sambas","Kalimantan Barat",
"Samosir","Sumatera Utara",
"Sampang","Jawa Timur",
"Sanggau","Kalimantan Barat",
"Sarmi","Papua",
"Sarolangun","Jambi",
"Sawah Lunto","Sumatera Barat",
"Sekadau","Kalimantan Barat",
"Selayar (Kepulauan Selayar)","Sulawesi Selatan",
"Seluma","Bengkulu",
"Semarang","Jawa Tengah",
"Semarang","Jawa Tengah",
"Seram Bagian Barat","Maluku",
"Seram Bagian Timur","Maluku",
"Serang","Banten",
"Kepulauan Yapen (Yapen Waropen)","Papua",
"Kerinci","Jambi",
"Ketapang","Kalimantan Barat",
"Klaten","Jawa Tengah",
"Klungkung","Bali",
"Kolaka","Sulawesi Tenggara",
"Kolaka Utara","Sulawesi Tenggara",
"Konawe","Sulawesi Tenggara",
"Konawe Selatan","Sulawesi Tenggara",
"Bandar Lampung","Lampung",
"Bandung","Jawa Barat",
"Bandung","Jawa Barat",
"Bandung Barat","Jawa Barat",
"Banggai","Sulawesi Tengah",
"Banggai Kepulauan","Sulawesi Tengah",
"Bangka","Bangka Belitung",
"Bangka Barat","Bangka Belitung",
"Bangka Selatan","Bangka Belitung",
"Bangka Tengah","Bangka Belitung",
"Bangkalan","Jawa Timur",
"Bangli","Bali",
"Banjar","Kalimantan Selatan",
"Banjar","Jawa Barat",
"Banjarbaru","Kalimantan Selatan",
"Banjarmasin","Kalimantan Selatan",
"Banjarnegara","Jawa Tengah",
"Bantaeng","Sulawesi Selatan",
"Bantul","DI Yogyakarta",
"Banyuasin","Sumatera Selatan",
"Banyumas","Jawa Tengah",
"Banyuwangi","Jawa Timur",
"Barito Kuala","Kalimantan Selatan",
"Barito Selatan","Kalimantan Tengah",
"Barito Timur","Kalimantan Tengah",
"Barito Utara","Kalimantan Tengah",
"Barru","Sulawesi Selatan",
"Batam","Kepulauan Riau",
"Batang","Jawa Tengah",
"Batang Hari","Jambi",
"Batu","Jawa Timur",
"Batu Bara","Sumatera Utara",
"Bau-Bau","Sulawesi Tenggara",
"Bekasi","Jawa Barat",
"Bekasi","Jawa Barat",
"Belitung","Bangka Belitung",
"Belitung Timur","Bangka Belitung",
"Belu","Nusa Tenggara Timur (NTT)",
"Bener Meriah","Nanggroe Aceh Darussalam (NAD)",
"Bengkalis","Riau",
"Bengkayang","Kalimantan Barat",
"Bengkulu","Bengkulu",
"Bengkulu Selatan","Bengkulu",
"Bengkulu Tengah","Bengkulu",
"Bengkulu Utara","Bengkulu",
"Berau","Kalimantan Timur",
"Biak Numfor","Papua",
"Bima","Nusa Tenggara Barat (NTB)",
"Bima","Nusa Tenggara Barat (NTB)",
"Binjai","Sumatera Utara",
"Bintan","Kepulauan Riau",
"Bireuen","Nanggroe Aceh Darussalam (NAD)",
"Bitung","Sulawesi Utara",
"Blitar","Jawa Timur",
"Blitar","Jawa Timur",
"Blora","Jawa Tengah",
"Boalemo","Gorontalo",
"Bogor","Jawa Barat",
"Bogor","Jawa Barat",
"Bojonegoro","Jawa Timur",
"Bolaang Mongondow (Bolmong)","Sulawesi Utara",
"Bolaang Mongondow Selatan","Sulawesi Utara",
"Bolaang Mongondow Timur","Sulawesi Utara",
"Bolaang Mongondow Utara","Sulawesi Utara",
"Bombana","Sulawesi Tenggara",
"Bondowoso","Jawa Timur",
"Bone","Sulawesi Selatan",
"Bone Bolango","Gorontalo",
"Bontang","Kalimantan Timur",
"Boven Digoel","Papua",
"Boyolali","Jawa Tengah",
"Brebes","Jawa Tengah",
"Bukittinggi","Sumatera Barat",
"Buleleng","Bali",
"Bulukumba","Sulawesi Selatan",
"Bulungan (Bulongan)","Kalimantan Utara",
"Bungo","Jambi",
"Buol","Sulawesi Tengah",
"Buru","Maluku",
"Buru Selatan","Maluku",
"Buton","Sulawesi Tenggara",
"Buton Utara","Sulawesi Tenggara",
"Ciamis","Jawa Barat",
"Cianjur","Jawa Barat",
"Cilacap","Jawa Tengah",
"Cilegon","Banten",
"Cimahi","Jawa Barat",
"Cirebon","Jawa Barat",
"Cirebon","Jawa Barat",
"Dairi","Sumatera Utara",
"Deiyai (Deliyai)","Papua",
"Konawe Utara","Sulawesi Tenggara",
"Kotabaru","Kalimantan Selatan",
"Kotamobagu","Sulawesi Utara",
"Kotawaringin Barat","Kalimantan Tengah",
"Kotawaringin Timur","Kalimantan Tengah",
"Kuantan Singingi","Riau",
"Kubu Raya","Kalimantan Barat",
"Kudus","Jawa Tengah",
"Kulon Progo","DI Yogyakarta",
"Kuningan","Jawa Barat",
"Kupang","Nusa Tenggara Timur (NTT)",
"Kupang","Nusa Tenggara Timur (NTT)",
"Kutai Barat","Kalimantan Timur",
"Kutai Kartanegara","Kalimantan Timur",
"Kutai Timur","Kalimantan Timur",
"Labuhan Batu","Sumatera Utara",
"Labuhan Batu Selatan","Sumatera Utara",
"Lahat","Sumatera Selatan",
"Lamandau","Kalimantan Tengah",
"Lamongan","Jawa Timur",
"Lampung Barat","Lampung",
"Lampung Selatan","Lampung",
"Lampung Tengah","Lampung",
"Lampung Timur","Lampung",
"Lampung Utara","Lampung",
"Landak","Kalimantan Barat",
"Langkat","Sumatera Utara",
"Langsa","Nanggroe Aceh Darussalam (NAD)",
"Lanny Jaya","Papua",
"Lebak","Banten",
"Lebong","Bengkulu",
"Lembata","Nusa Tenggara Timur (NTT)",
"Lhokseumawe","Nanggroe Aceh Darussalam (NAD)",
"Lima Puluh Koto/Kota","Sumatera Barat",
"Lingga","Kepulauan Riau",
"Lombok Barat","Nusa Tenggara Barat (NTB)",
"Lombok Tengah","Nusa Tenggara Barat (NTB)",
"Lombok Timur","Nusa Tenggara Barat (NTB)",
"Lombok Utara","Nusa Tenggara Barat (NTB)",
"Lubuk Linggau","Sumatera Selatan",
"Lumajang","Jawa Timur",
"Luwu","Sulawesi Selatan",
"Luwu Timur","Sulawesi Selatan",
"Luwu Utara","Sulawesi Selatan",
"Madiun","Jawa Timur",
"Madiun","Jawa Timur",
"Magelang","Jawa Tengah",
"Magelang","Jawa Tengah",
"Magetan","Jawa Timur",
"Majalengka","Jawa Barat",
"Majene","Sulawesi Barat",
"Makassar","Sulawesi Selatan",
"Malang","Jawa Timur",
"Malang","Jawa Timur",
"Malinau","Kalimantan Utara",
"Maluku Barat Daya","Maluku",
"Maluku Tengah","Maluku",
"Maluku Tenggara","Maluku",
"Maluku Tenggara Barat","Maluku",
"Mamasa","Sulawesi Barat",
"Mamberamo Raya","Papua",
"Mamberamo Tengah","Papua",
"Mamuju","Sulawesi Barat",
"Mamuju Utara","Sulawesi Barat",
"Manado","Sulawesi Utara",
"Mandailing Natal","Sumatera Utara",
"Manggarai","Nusa Tenggara Timur (NTT)",
"Manggarai Barat","Nusa Tenggara Timur (NTT)",
"Manggarai Timur","Nusa Tenggara Timur (NTT)",
"Manokwari","Papua Barat",
"Manokwari Selatan","Papua Barat",
"Mappi","Papua",
"Maros","Sulawesi Selatan",
"Mataram","Nusa Tenggara Barat (NTB)",
"Maybrat","Papua Barat",
"Medan","Sumatera Utara",
"Melawi","Kalimantan Barat",
"Merangin","Jambi",
"Merauke","Papua",
"Mesuji","Lampung",
"Metro","Lampung",
"Mimika","Papua",
"Minahasa","Sulawesi Utara",
"Minahasa Selatan","Sulawesi Utara",
"Minahasa Tenggara","Sulawesi Utara",
"Minahasa Utara","Sulawesi Utara",
"Mojokerto","Jawa Timur",
"Mojokerto","Jawa Timur",
"Morowali","Sulawesi Tengah",
"Muara Enim","Sumatera Selatan",
"Muaro Jambi","Jambi",
"Muko Muko","Bengkulu",
"Muna","Sulawesi Tenggara",
"Murung Raya","Kalimantan Tengah",
"Musi Banyuasin","Sumatera Selatan",
"Musi Rawas","Sumatera Selatan",
"Nabire","Papua",
"Nagan Raya","Nanggroe Aceh Darussalam (NAD)",
"Nagekeo","Nusa Tenggara Timur (NTT)",
"Natuna","Kepulauan Riau",
"Nduga","Papua",
"Ngada","Nusa Tenggara Timur (NTT)",
"Nganjuk","Jawa Timur",
"Ngawi","Jawa Timur",
"Nias","Sumatera Utara",
"Nias Barat","Sumatera Utara",
"Nias Selatan","Sumatera Utara",
"Nias Utara","Sumatera Utara",
"Nunukan","Kalimantan Utara",
"Ogan Ilir","Sumatera Selatan",
"Ogan Komering Ilir","Sumatera Selatan",
"Ogan Komering Ulu","Sumatera Selatan",
"Serang","Banten",
"Serdang Bedagai","Sumatera Utara",
"Seruyan","Kalimantan Tengah",
"Siak","Riau",
"Sibolga","Sumatera Utara",
"Sidenreng Rappang/Rapang","Sulawesi Selatan",
"Sidoarjo","Jawa Timur",
"Sigi","Sulawesi Tengah",
"Sijunjung (Sawah Lunto Sijunjung)","Sumatera Barat",
"Sikka","Nusa Tenggara Timur (NTT)",
"Simalungun","Sumatera Utara",
"Simeulue","Nanggroe Aceh Darussalam (NAD)",
"Singkawang","Kalimantan Barat",
"Sinjai","Sulawesi Selatan",
"Sintang","Kalimantan Barat",
"Situbondo","Jawa Timur",
"Sleman","DI Yogyakarta",
"Solok","Sumatera Barat",
"Solok","Sumatera Barat",
"Deli Serdang","Sumatera Utara",
"Demak","Jawa Tengah",
"Denpasar","Bali",
"Depok","Jawa Barat",
"Dharmasraya","Sumatera Barat",
"Dogiyai","Papua",
"Dompu","Nusa Tenggara Barat (NTB)",
"Donggala","Sulawesi Tengah",
"Dumai","Riau",
"Empat Lawang","Sumatera Selatan",
"Ende","Nusa Tenggara Timur (NTT)",
"Enrekang","Sulawesi Selatan",
"Fakfak","Papua Barat",
"Flores Timur","Nusa Tenggara Timur (NTT)",
"Garut","Jawa Barat",
"Gayo Lues","Nanggroe Aceh Darussalam (NAD)",
"Gianyar","Bali",
"Gorontalo","Gorontalo",
"Gorontalo","Gorontalo",
"Gorontalo Utara","Gorontalo",
"Gowa","Sulawesi Selatan",
"Gresik","Jawa Timur",
"Grobogan","Jawa Tengah",
"Gunung Kidul","DI Yogyakarta",
"Gunung Mas","Kalimantan Tengah",
"Gunungsitoli","Sumatera Utara",
"Halmahera Barat","Maluku Utara",
"Halmahera Selatan","Maluku Utara",
"Halmahera Tengah","Maluku Utara",
"Halmahera Timur","Maluku Utara",
"Halmahera Utara","Maluku Utara",
